(('также', 'настоятельно', 'рекомендовать'), 1362)
(('просьба', 'ставить', 'самостоятельно'), 1361)
(('ставить', 'самостоятельно', 'тег'), 1361)
(('самостоятельно', 'тег', 'пост'), 1361)
(('тег', 'пост', 'полный'), 1361)
(('пост', 'полный', 'список'), 1361)
(('полный', 'список', 'тег'), 1361)
(('список', 'тег', 'указать'), 1361)
(('список', 'регулярно', 'пополняться'), 1361)
(('регулярно', 'пополняться', 'новый'), 1361)
(('пополняться', 'новый', 'тег'), 1361)
(('новый', 'тег', 'пост'), 1361)
(('тег', 'пост', 'тег'), 1361)
(('пост', 'тег', 'публиковаться'), 1361)
(('тег', 'публиковаться', 'пост'), 1361)
(('публиковаться', 'пост', 'соответствующий'), 1361)
(('пост', 'соответствующий', 'формат'), 1361)
(('соответствующий', 'формат', 'паблик'), 1361)
(('формат', 'паблик', 'опубликовать'), 1361)
(('паблик', 'опубликовать', 'также'), 1361)
(('опубликовать', 'также', 'настоятельно'), 1361)
(('настоятельно', 'рекомендовать', 'ознакомиться'), 1361)
(('рекомендовать', 'ознакомиться', 'навигация'), 1361)
(('ознакомиться', 'навигация', 'сообщество'), 1361)
(('убедительный', 'просьба', 'ставить'), 1360)
(('разбивать', 'пожалуйста', 'длинный'), 1340)
(('пожалуйста', 'длинный', 'текст'), 1340)
(('тег', 'указать', 'httpsvkcomtopic6962900733781129'), 1309)
(('указать', 'httpsvkcomtopic6962900733781129', 'список'), 1309)
(('httpsvkcomtopic6962900733781129', 'список', 'регулярно'), 1309)
(('навигация', 'сообщество', 'httpsvkcomtopic6962900733786351'), 1309)
(('забывать', 'следить', 'обновление'), 1243)
(('следить', 'обновление', 'раздел'), 1243)
(('обновление', 'раздел', 'теория'), 1243)
(('формат', 'паблик', 'пожалуйста'), 1232)
(('паблик', 'пожалуйста', 'забывать'), 1232)
(('сообщество', 'httpsvkcomtopic6962900733786351', 'очень'), 1180)
(('httpsvkcomtopic6962900733786351', 'очень', 'важный'), 1180)
(('вопрос', 'феминистский', 'тема'), 1103)
(('феминистский', 'тема', 'паблик'), 1103)
(('ваш', 'вопрос', 'феминистский'), 1102)
(('обсуждение', 'сексистский', 'высеров'), 1101)
(('тема', 'паблик', 'httpsvkcomtakemyhandgirl'), 1086)
(('httpsvkcomasksister', 'обсуждение', 'сексистский'), 1086)
(('паблик', 'httpsvkcomtakemyhandgirl', 'httpsvkcomasksister'), 1085)
(('httpsvkcomtakemyhandgirl', 'httpsvkcomasksister', 'обсуждение'), 1085)
(('удобочитаемость', 'разбивать', 'пожалуйста'), 974)
(('длинный', 'текст', 'абзацын'), 963)
(('текст', 'абзацын', 'забывать'), 963)
(('абзацын', 'забывать', 'следить'), 963)
(('напоминание', 'конец', 'каждый'), 958)
(('конец', 'каждый', 'пост'), 958)
(('каждый', 'пост', 'убедительный'), 958)
(('пост', 'убедительный', 'просьба'), 958)
(('очень', 'важный', 'информациядлить'), 953)
(('администрация', 'напоминание', 'конец'), 953)
(('пожалуйста', 'забывать', 'httpsvkcomtopic6962900730082864длить'), 848)
(('забывать', 'httpsvkcomtopic6962900730082864длить', 'ваш'), 848)
(('httpsvkcomtopic6962900730082864длить', 'ваш', 'вопрос'), 848)
(('сексистский', 'высеров', 'httpsvkcomdaitetazik'), 819)
(('высеров', 'httpsvkcomdaitetazik', 'жалоба'), 808)
(('httpsvkcomdaitetazik', 'жалоба', 'высера'), 808)
(('раздел', 'теория', 'httpsvkcomtopic6962900733662247ь'), 759)
(('теория', 'httpsvkcomtopic6962900733662247ь', 'формат'), 759)
(('httpsvkcomtopic6962900733662247ь', 'формат', 'паблик'), 759)
(('важный', 'информациядлить', 'удобочитаемость'), 731)
(('информациядлить', 'удобочитаемость', 'разбивать'), 731)
(('раздел', 'теория', 'httpsvkcomtopic6962900733662247'), 421)
(('теория', 'httpsvkcomtopic6962900733662247', 'формат'), 421)
(('httpsvkcomtopic6962900733662247', 'формат', 'паблик'), 421)
